"Reference","Value","Datasheet","Footprint","Qty","DNP"
"C1,C2","100n","~","-- mixed values --","2",""
"J1,J2","Conn_01x03","~","Connector_Wire:SolderWirePad_1x01_SMD_5x10mm","2",""
"L1,L2,L3","GWRB-LED","","_led:LED_BEAD_8P","3",""
"Q1,Q2,Q3,Q4","S8550","~","Package_TO_SOT_SMD:SOT-23","4",""
"R1,R4,R6,R9","18K","~","Resistor_SMD:R_0805_2012Metric","4",""
"R2,R3,R7,R8,R10,R11","5R6","~","Resistor_SMD:R_1206_3216Metric","6",""
"R5,R19","8R","~","Resistor_SMD:R_1206_3216Metric","2",""
"R12,R13,R14,R15","100R","~","Resistor_SMD:R_0805_2012Metric","4",""
"R16","1K","~","Resistor_SMD:R_0805_2012Metric","1",""
"R17,R18","68R","~","Resistor_SMD:R_0805_2012Metric","2",""
"U1","UCS2904B","https://www.led-stuebchen.de/download/UCS2904_English_2019-6-27.pdf","Package_SO:SO-8_3.9x4.9mm_P1.27mm","1",""
